LeedsTownHall_VictoriaHall,LeedsTownHall_AlbertRoom,Vue,Everyman,HydePark,LeftBank,Carriageworks,CityVarieties,ChapelFMSeacroft,RoyalArmouries,BelgraveMusicHall,Leeds,TheTetley,CottageRoadCinema,TheReliance,LeedsUniversity
1-1,1-1,7-2,7-6,31-5,29-5,3-1,9-3,1-10,24-7,10-2,2-1,15-5,55-8,12-2,15-4
1-1,1-1,7-2,7-6,31-5,29-5,3-1,9-3,1-10,24-7,10-2,2-1,15-5,55-8,12-2,15-4
6-5,6-5,1-1,8-6,33-7,32-7,4-4,2-3,1-10,17-7,4-2,5-4,9-5,55-8,7-2,15-4
9-2,9-2,10-3,1-1,36-5,33-4,9-2,11-4,1-12,19-8,14-3,8-2,9-6,1-9,16-3,21-5
30-5,30-5,33-6,34-8,1-1,3-1,31-5,35-8,1-14,50-10,34-6,30-5,42-8,29-5,37-6,15-3
28-4,28-4,33-6,32-8,3-1,1-1,30-5,34-7,1-13,50-10,36-6,29-4,41-7,29-5,39-6,17-3
3-4,3-4,5-1,7-6,32-7,30-7,1-1,7-3,1-10,22-6,7-1,1-4,14-5,53-8,9-2,14-4
8-4,8-4,2-4,9-6,35-7,34-6,6-4,1-1,1-9,16-6,4-1,7-4,7-4,57-8,6-1,17-4
1-10,1-10,1-10,1-10,1-13,1-12,1-10,1-8,1-1,1-11,1-9,1-10,1-9,1-14,1-8,1-10
26-7,26-7,21-9,20-6,54-11,53-10,24-7,18-6,1-12,1-1,21-7,25-7,10-4,1-13,20-6,36-9
9-4,9-4,5-4,12-6,35-7,36-7,7-4,4-3,1-10,18-6,1-1,7-4,10-5,57-8,3-2,17-4
2-4,2-4,6-1,6-6,31-7,29-7,1-1,8-3,1-10,23-6,8-1,1-1,15-5,53-8,10-2,13-4
17-3,17-3,12-5,10-2,46-7,43-7,16-3,10-4,1-11,10-4,12-5,17-3,1-1,1-10,14-4,27-6
51-9,51-9,52-8,56-12,26-5,26-4,50-8,54-10,1-15,1-12,53-9,49-8,1-10,1-1,56-7,37-5
13-5,13-5,9-5,16-5,38-9,40-8,10-6,7-2,1-9,18-6,4-3,11-6,13-4,1-9,1-1,20-6
12-4,12-4,13-5,16-8,12-3,13-3,10-4,14-6,1-11,30-8,14-5,10-4,22-7,36-6,16-4,1-1